folio,section_code,section,locator,position_code,locus_type,raw_eva,display_eva,normalized_tokens,token_count,structural_gloss,structural_confidence,speculative_english,speculative_status,page_context,ruleset_version
f67r1,A,Astronomical,f67r1.11,@Ri,R,ykees.ary,ykees ary,ykees ary,2,radial text; paragraph opening; 2 normalized token groups. ykees: recurrent form; ary: line-final tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Inner Rosette, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f67r1,A,Astronomical,f67r1.12,@Ri,R,sosaiir,sosaiir,sosaiir,1,radial text; paragraph opening; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Inner Rosette, toward the eastern tower.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f67r1,A,Astronomical,f67r1.13,@Ri,R,oteey.dar,oteey dar,oteey dar,2,radial text; paragraph opening; 2 normalized token groups. oteey: broad high-frequency form; dar: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Inner Rosette, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f67r1,A,Astronomical,f67r1.14,@Ri,R,"yto,daiir",yto [?break] daiir,yto daiir,2,radial text; paragraph opening; 2 normalized token groups. yto: recurrent form; daiir: line-initial tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Enclosed Field, toward the eastern tower.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f67r1,A,Astronomical,f67r1.15,@Ri,R,sheosam,sheosam,sheosam,1,radial text; paragraph opening; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Enclosed Field, toward the western circle.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f67r1,A,Astronomical,f67r1.16,@Ri,R,ykeeody,ykeeody,ykeeody,1,radial text; paragraph opening; 1 normalized token group. ykeeody: line-initial tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Central Enclosure, toward the western circle.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f67r1,A,Astronomical,f67r1.17,@Ri,R,okeol.sal,okeol sal,okeol sal,2,radial text; paragraph opening; 2 normalized token groups. okeol: recurrent form; sal: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Inner Rosette, toward the lower field.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f67r1,A,Astronomical,f67r1.18,@Ri,R,okeey.sar,okeey sar,okeey sar,2,radial text; paragraph opening; 2 normalized token groups. okeey: broad high-frequency form; sar: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Enclosed Field, toward the western circle.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f67r1,A,Astronomical,f67r1.19,@Ri,R,dalary,dalary,dalary,1,radial text; paragraph opening; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Middle Gate, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"An astronomical foldout surface dominated by lunar imagery, concentric circles, radial structure, and circular writing.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.1,@P1,P,<%>otchey.sheol.chkey.shep.al.r.ar.chly.sheteal.aram,otchey sheol chkey shep al r ar chly sheteal aram,otchey sheol chkey shep al r ar chly sheteal aram,10,running paragraph text; paragraph opening; 10 normalized token groups. otchey: productive ending family; sheol: broad high-frequency form; chkey: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the middle gate, trace the divided channel toward the eastern tower; join it to the first ring through the narrow gate.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.2,+P1,P,"dair,cheey.s,cheotey.dshy.dam.chchet.al.yke{c'}y",dair [?break] cheey s [?break] cheotey dshy dam chchet al yke{c'}y,dair cheey s cheotey dshy dam chchet al ykecy,9,running paragraph text; continuation; 9 normalized token groups. dair: broad high-frequency form; cheey: broad high-frequency form; s: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the marked face, turn the outer circuit toward the outer wall; join it to the returning path at the marked opening.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.3,+P1,P,"ykeeo.y.s.ald.shey.cthy.shekey.qokal,aiir.oteog",ykeeo y s ald shey cthy shekey qokal [?break] aiir oteog,ykeeo y s ald shey cthy shekey qokal aiir oteog,10,running paragraph text; continuation; 10 normalized token groups. ykeeo: recurrent form; y: broad high-frequency form; s: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the middle gate, trace the outer circuit toward the western circle; join it to the eightfold division at the marked opening.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.4,+P1,P,daiin.okeey.shoaiin.{ckhh}ey.otal.shshy.tal.dam,daiin okeey shoaiin {ckhh}ey otal shshy tal dam,daiin okeey shoaiin ckhhey otal shshy tal dam,8,running paragraph text; continuation; 8 normalized token groups. daiin: broad high-frequency form; okeey: broad high-frequency form; shoaiin: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the inner rosette, carry the divided channel toward the lower field; join it to the encircling band at the marked opening.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.5,+P1,P,tal.cheeog.dal.chcthy.qotal.ddl[a:o]r.chal.dal,tal cheeog dal chcthy qotal ddl[a:o]r chal dal,tal cheeog dal chcthy qotal ddlar chal dal,8,running paragraph text; continuation; 8 normalized token groups. tal: recurrent form; dal: broad high-frequency form; chcthy: broad high-frequency form. within-line repetition: dal. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the inner rosette, carry the divided channel toward the eastern tower; join it to the encircling band beside the repeated sign.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.6,+P1,P,ytar.ar.al.yol.al.aloees.ytaiir.otaldal,ytar ar al yol al aloees ytaiir otaldal,ytar ar al yol al aloees ytaiir otaldal,8,running paragraph text; continuation; 8 normalized token groups. ytar: recurrent form; ar: broad high-frequency form; al: broad high-frequency form. within-line repetition: al. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the enclosed field, turn the outer circuit toward the lower field; join it to the first ring beside the repeated sign.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.7,+P1,P,daiin.daiin.she.tal.qokal.chol{ckhh}y.dy,daiin daiin she tal qokal chol{ckhh}y dy,daiin daiin she tal qokal cholckhhy dy,7,running paragraph text; continuation; 7 normalized token groups. daiin: broad high-frequency form; she: recurrent form; tal: recurrent form. within-line repetition: daiin. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the inner rosette, carry the narrow road toward the outer wall; join it to the first ring at the marked opening.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.8,+P1,P,ytals.alal.dalam.dal.cthol.oparam,ytals alal dalam dal cthol oparam,ytals alal dalam dal cthol oparam,6,running paragraph text; continuation; 6 normalized token groups. alal: recurrent form; dalam: recurrent form; dal: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the central enclosure, measure the narrow road toward the western circle; join it to the outer medallion at the marked opening.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.9,+P1,P,"dolshol.shol.shol.sho{cthh}y.dalal,y",dolshol shol shol sho{cthh}y dalal [?break] y,dolshol shol shol shocthhy dalal y,6,running paragraph text; continuation; 6 normalized token groups. shol: broad high-frequency form; dalal: recurrent form; y: broad high-frequency form. within-line repetition: shol. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the inner rosette, measure the spiral course toward the outer wall; join it to the returning path at the final division.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.10,+P1,P,"shokal.chol,kshody.tol.cheey.okal",shokal chol [?break] kshody tol cheey okal,shokal chol kshody tol cheey okal,6,running paragraph text; continuation; 6 normalized token groups. shokal: recurrent form; chol: broad high-frequency form; kshody: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the marked face, follow the divided channel toward the western circle; join it to the outer medallion at the final division.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.11,+P1,P,daiin.chotal.qokal.chol.chotals,daiin chotal qokal chol chotals,daiin chotal qokal chol chotals,5,running paragraph text; continuation; 5 normalized token groups. daiin: broad high-frequency form; chotal: recurrent form; qokal: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the inner rosette, join the bridged passage toward the outer wall; join it to the eightfold division at the marked opening.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.12,+P1,P,qokal.shkal.dal.shy.qokal.chdy,qokal shkal dal shy qokal chdy,qokal shkal dal shy qokal chdy,6,running paragraph text; continuation; 6 normalized token groups. qokal: broad high-frequency form; dal: broad high-frequency form; shy: broad high-frequency form. within-line repetition: qokal. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the inner rosette, carry the divided channel toward the western circle; join it to the first ring without crossing the inner band.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.13,+P1,P,"qotal,che,y.key.okechy.chdy.cham",qotal [?break] che [?break] y key okechy chdy cham,qotal che y key okechy chdy cham,7,running paragraph text; continuation; 7 normalized token groups. qotal: productive qo- family; che: recurrent form; y: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the central enclosure, turn the bridged passage toward the outer wall; join it to the eightfold division without crossing the inner band.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.14,+P1,P,okaiin.ch{cthh}y.s.or.ary<$>,okaiin ch{cthh}y s or ary,okaiin chcthhy s or ary,5,running paragraph text; paragraph or sequence ending; 5 normalized token groups. okaiin: broad high-frequency form; chcthhy: recurrent form; s: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the enclosed field, carry the outer circuit toward the northern rosette; join it to the first ring through the narrow gate.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.15,@Cc,C,"<!10:00>sal.air.am.shedy.chokal.cho{ikh}y.shokeey.choky.chol.dy.okeeal.o,teedy.dgr.dair,aiin.okees.okeear.ar,alekeey.ar,kam.oteoodalry.chekeoar.chokey.dar.dcheoky.otai.do{ith}y.dair.otchetchar.okear.okeeo.lal.kch[g:?].okar.ar,dar",[note: 10:00] sal air am shedy chokal cho{ikh}y shokeey choky chol dy okeeal o [?break] teedy dgr dair [?break] aiin okees okeear ar [?break] alekeey ar [?break] kam oteoodalry chekeoar chokey dar dcheoky otai do{ith}y dair otchetchar okear okeeo lal kch[g:?] okar ar [?break] dar,sal air am shedy chokal choikhy shokeey choky chol dy okeeal o teedy dgr dair aiin okees okeear ar alekeey ar kam oteoodalry chekeoar chokey dar dcheoky otai doithy dair otchetchar okear okeeo lal kchg okar ar dar,38,"circular text; paragraph opening; 38 normalized token groups. sal: recurrent form; air: broad high-frequency form; am: broad high-frequency form. within-line repetition: dair, ar, dar. no English lexical value established.",Moderate for form and position; zero validated English semantics,"From the inner rosette, carry the divided channel toward the western circle; join it to the encircling band through the narrow gate.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.16,+Cc,C,"<!10:00>otar.ar.chedal.oaral.aldaiin.ykeeedaiis.sheo.l,dar.chol.ykees.aiir,dl.cheey.[s:r]keeod.oteeodar.aiin.aral.daiir.sheedal.sheodaiin.choar.chol.chot[e:i]oly.cho.oteey.chotey.choeky.chedy.choteosam.oteodar.o{ckhh}",[note: 10:00] otar ar chedal oaral aldaiin ykeeedaiis sheo l [?break] dar chol ykees aiir [?break] dl cheey [s:r]keeod oteeodar aiin aral daiir sheedal sheodaiin choar chol chot[e:i]oly cho oteey chotey choeky chedy choteosam oteodar o{ckhh},otar ar chedal oaral aldaiin ykeeedaiis sheo l dar chol ykees aiir dl cheey skeeod oteeodar aiin aral daiir sheedal sheodaiin choar chol choteoly cho oteey chotey choeky chedy choteosam oteodar ockhh,32,circular text; continuation; 32 normalized token groups. otar: broad high-frequency form; ar: broad high-frequency form; chedal: recurrent form. within-line repetition: chol. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the central enclosure, turn the divided channel toward the outer wall; join it to the outer medallion beside the repeated sign.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.17,+Cc,C,"<!09:15>oches,air.chese.ctheey.sheeody.shopcho.yteody.ykaldy.oteeos.aiin.sh[e:?]y.shee.farar.aim.cheoteeodal.sho.choetchaldy.dal.aiir,ches.otesar.dalol.chtam.opaiir.chokeo.oteedy.oteeo.okol.chotal.otol,al.dl",[note: 09:15] oches [?break] air chese ctheey sheeody shopcho yteody ykaldy oteeos aiin sh[e:?]y shee farar aim cheoteeodal sho choetchaldy dal aiir [?break] ches otesar dalol chtam opaiir chokeo oteedy oteeo okol chotal otol [?break] al dl,oches air chese ctheey sheeody shopcho yteody ykaldy oteeos aiin shey shee farar aim cheoteeodal sho choetchaldy dal aiir ches otesar dalol chtam opaiir chokeo oteedy oteeo okol chotal otol al dl,32,circular text; continuation; 32 normalized token groups. air: broad high-frequency form; ctheey: productive ending family; sheeody: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the inner rosette, carry the bridged passage toward the eastern tower; join it to the eightfold division through the narrow gate.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.18,+Cc,C,"<!09:15>otoy.ar,arodchedy.cheocphey.oteeos.ees.cheal.sheeey.okeedaly.cheeoekey.yk[ee:ei]d[{cr}:ar].oteey.s.al.s.air.oteody.oteody.dar.aiir.ody.cheeos,chey.daiin.otoeeseor.air.chedy.okodar.al.sho.chotol.dal,dy",[note: 09:15] otoy ar [?break] arodchedy cheocphey oteeos ees cheal sheeey okeedaly cheeoekey yk[ee:ei]d[{cr}:ar] oteey s al s air oteody oteody dar aiir ody cheeos [?break] chey daiin otoeeseor air chedy okodar al sho chotol dal [?break] dy,otoy ar arodchedy cheocphey oteeos ees cheal sheeey okeedaly cheeoekey ykeed cr ar oteey s al s air oteody oteody dar aiir ody cheeos chey daiin otoeeseor air chedy okodar al sho chotol dal dy,35,"circular text; continuation; 35 normalized token groups. otoy: recurrent form; ar: broad high-frequency form; arodchedy: productive ending family. within-line repetition: ar, s, al. no English lexical value established.",Moderate for form and position; zero validated English semantics,"From the central enclosure, turn the narrow road toward the western circle; join it to the encircling band beside the repeated sign.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70r2,C,Cosmological,f70r2.19,@Cc,C,"<!12:00>oteesy.ol,chy.oteo.sal.ol.keey.oteol.choky.otcho[sh:ch]a",[note: 12:00] oteesy ol [?break] chy oteo sal ol keey oteol choky otcho[sh:ch]a,oteesy ol chy oteo sal ol keey oteol choky otchosha,10,circular text; paragraph opening; 10 normalized token groups. ol: broad high-frequency form; chy: broad high-frequency form; oteo: recurrent form. within-line repetition: ol. no English lexical value established.,Moderate for form and position; zero validated English semantics,"From the enclosed field, join the outer circuit toward the lower field; join it to the encircling band without crossing the inner band.",Creative reconstruction; not a decipherment or translation,"A cosmological diagram with a central face, rings of text, and eight surrounding lozenge-like forms.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.1,@Cc,C,"<!10:30>okcheo.dar.otey.ykeey.tchy.otsheo.oteotey.she[y:o].shecth.opcheoldair.dateey.sal.ody.choteey.choeteedy.oteoteotsho.yteos.alain.sheodaly.{c@162;h}o.aiin.cholkal.chokear.oteody.cholaiin.oteeoal.al.sheeos.okey.chol,dy.otees.cho.s.ola[r:n].otoaiin.oteeody.sos.todaiin.chokain.otalal.oteeam",[note: 10:30] okcheo dar otey ykeey tchy otsheo oteotey she[y:o] shecth opcheoldair dateey sal ody choteey choeteedy oteoteotsho yteos alain sheodaly {c@162;h}o aiin cholkal chokear oteody cholaiin oteeoal al sheeos okey chol [?break] dy otees cho s ola[r:n] otoaiin oteeody sos todaiin chokain otalal oteeam,okcheo dar otey ykeey tchy otsheo oteotey shey shecth opcheoldair dateey sal ody choteey choeteedy oteoteotsho yteos alain sheodaly cxho aiin cholkal chokear oteody cholaiin oteeoal al sheeos okey chol dy otees cho s olar otoaiin oteeody sos todaiin chokain otalal oteeam,42,circular text; paragraph opening; 42 normalized token groups. dar: broad high-frequency form; otey: productive ending family; ykeey: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Under the turning sign, observe the first station; place the named figure beside the inner ring.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.2,@Lz,L,<!09:00>otalalg,[note: 09:00] otalalg,otalalg,1,isolated label or short inscription; paragraph opening; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Enclosed Field, toward the outer wall.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.3,&Lz,L,<!10:00>ykary,[note: 10:00] ykary,ykary,1,isolated label or short inscription; continuation; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Enclosed Field, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.4,&Lz,L,<!10:30>otar?,[note: 10:30] otar?,otar,1,isolated label or short inscription; continuation; 1 normalized token group. otar: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Central Enclosure, toward the eastern tower.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.5,&Lz,L,<!11:00>oty,[note: 11:00] oty,oty,1,isolated label or short inscription; continuation; 1 normalized token group. oty: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Enclosed Field, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.6,&Lz,L,<!11:30>oky.ody,[note: 11:30] oky ody,oky ody,2,isolated label or short inscription; continuation; 2 normalized token groups. oky: broad high-frequency form; ody: line-final tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Marked Face, toward the eastern tower.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.7,&Lz,L,<!00:00>oty.ar,[note: 00:00] oty ar,oty ar,2,isolated label or short inscription; continuation; 2 normalized token groups. oty: broad high-frequency form; ar: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Enclosed Field, toward the lower field.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.8,&Lz,L,<!00:30>okala,[note: 00:30] okala,okala,1,isolated label or short inscription; continuation; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Enclosed Field, toward the lower field.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.9,&Lz,L,<!01:00>otody,[note: 01:00] otody,otody,1,isolated label or short inscription; continuation; 1 normalized token group. otody: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Marked Face, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.10,&Lz,L,<!01:30>otald,[note: 01:30] otald,otald,1,isolated label or short inscription; continuation; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Middle Gate, toward the western circle.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.11,&Lz,L,<!02:00>otaldar,[note: 02:00] otaldar,otaldar,1,isolated label or short inscription; continuation; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Middle Gate, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.12,&Lz,L,<!02:45>okody,[note: 02:45] okody,okody,1,isolated label or short inscription; continuation; 1 normalized token group. okody: line-initial tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Middle Gate, toward the lower field.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.13,&Lz,L,<!03:15>opysam,[note: 03:15] opysam,opysam,1,isolated label or short inscription; continuation; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Middle Gate, toward the lower field.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.14,&Lz,L,<!04:00>ch{ckhh}y,[note: 04:00] ch{ckhh}y,chckhhy,1,isolated label or short inscription; continuation; 1 normalized token group. chckhhy: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Middle Gate, toward the outer wall.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.15,&Lz,L,<!04:30>otaly,[note: 04:30] otaly,otaly,1,isolated label or short inscription; continuation; 1 normalized token group. otaly: line-initial tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Marked Face, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.16,&Lz,L,<!05:30>otal.arar,[note: 05:30] otal arar,otal arar,2,isolated label or short inscription; continuation; 2 normalized token groups. otal: broad high-frequency form; arar: line-final tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Marked Face, toward the northern rosette.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.17,&Lz,L,<!06:30>otaldy,[note: 06:30] otaldy,otaldy,1,isolated label or short inscription; continuation; 1 normalized token group. otaldy: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Central Enclosure, toward the outer wall.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.18,&Lz,L,<!07:00>okeoly,[note: 07:00] okeoly,okeoly,1,isolated label or short inscription; continuation; 1 normalized token group. okeoly: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Marked Face, toward the eastern tower.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.19,&Lz,L,<!08:00>okydy,[note: 08:00] okydy,okydy,1,isolated label or short inscription; continuation; 1 normalized token group. okydy: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Middle Gate, toward the western circle.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
f70v2,Z,Zodiac,f70v2.20,&Lz,L,<!08:30>okee[s:r],[note: 08:30] okee[s:r],okees,1,isolated label or short inscription; continuation; 1 normalized token group. okees: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Label: The Middle Gate, toward the lower field.",Creative reconstruction; not a decipherment or translation,"A zodiac page centered on the paired fish associated with Pisces, surrounded by rings of figures, stars, and labels.",pilot-0.1.0
